date,region,product,units_sold,price,revenue
2025-02-02,North,Headphones,19,2000,38000
2025-02-02,South,Tablet,5,25000,125000
2025-02-02,North,Mobile,9,2000,18000
2025-02-02,North,Laptop,1,8000,8000
2025-02-03,West,Mobile,16,15000,240000
2025-02-03,West,Laptop,1,2000,2000
2025-02-03,North,Tablet,5,25000,125000
2025-02-04,East,Tablet,12,25000,300000
2025-02-04,West,Tablet,5,25000,125000
2025-02-05,North,Mobile,5,8000,40000
2025-02-05,North,Mobile,14,25000,350000
2025-02-06,North,Headphones,16,25000,400000
2025-02-06,South,Headphones,7,2000,14000
2025-02-06,North,Mobile,5,8000,40000
2025-02-06,South,Mobile,5,2000,10000
2025-02-06,South,Headphones,10,25000,250000
2025-02-07,South,Headphones,1,2000,2000
2025-02-07,North,Laptop,4,2000,8000
2025-02-07,West,Headphones,2,15000,30000
2025-02-07,West,Headphones,12,25000,300000
2025-02-08,West,Laptop,1,15000,15000
2025-02-08,East,Tablet,5,2000,10000
2025-02-08,East,Laptop,1,2000,2000
2025-02-08,South,Tablet,12,15000,180000
2025-02-09,West,Tablet,14,25000,350000
2025-02-09,North,Tablet,18,8000,144000
2025-02-10,North,Mobile,8,15000,120000
2025-02-10,South,Mobile,2,8000,16000
2025-02-10,North,Tablet,4,25000,100000
2025-02-10,North,Mobile,13,8000,104000
2025-02-11,West,Headphones,4,25000,100000
2025-02-11,North,Laptop,3,15000,45000
2025-02-12,West,Headphones,18,15000,270000
2025-02-12,East,Headphones,5,2000,10000
2025-02-12,North,Tablet,13,8000,104000
2025-02-12,North,Tablet,9,25000,225000
2025-02-13,North,Mobile,16,15000,240000
2025-02-13,South,Laptop,19,15000,285000
2025-02-14,West,Laptop,9,8000,72000
2025-02-14,West,Laptop,7,2000,14000
2025-02-14,South,Tablet,19,25000,475000
2025-02-14,East,Headphones,5,8000,40000
2025-02-14,West,Laptop,4,15000,60000
2025-02-15,West,Laptop,7,15000,105000
2025-02-15,North,Mobile,7,25000,175000
2025-02-15,East,Mobile,5,8000,40000
2025-02-15,East,Laptop,11,8000,88000
2025-02-16,East,Headphones,9,25000,225000
2025-02-16,South,Headphones,17,15000,255000
2025-02-16,South,Tablet,14,15000,210000
2025-02-17,South,Laptop,18,8000,144000
2025-02-17,South,Mobile,5,15000,75000
2025-02-17,North,Mobile,19,2000,38000
2025-02-17,West,Laptop,1,25000,25000
2025-02-17,West,Laptop,7,15000,105000
2025-02-18,West,Headphones,6,2000,12000
2025-02-18,East,Tablet,12,25000,300000
2025-02-19,East,Mobile,19,8000,152000
2025-02-19,South,Tablet,13,15000,195000
2025-02-19,South,Headphones,8,15000,120000
2025-02-19,East,Laptop,7,15000,105000
2025-02-20,North,Headphones,17,15000,255000
2025-02-20,West,Laptop,6,15000,90000
2025-02-20,South,Mobile,12,15000,180000
2025-02-20,West,Laptop,15,15000,225000
2025-02-21,South,Laptop,11,2000,22000
2025-02-21,North,Headphones,3,8000,24000
2025-02-21,West,Laptop,18,8000,144000
2025-02-21,North,Laptop,14,8000,112000
2025-02-21,East,Laptop,3,2000,6000
2025-02-22,North,Tablet,12,25000,300000
2025-02-22,West,Headphones,8,25000,200000
2025-02-22,West,Headphones,8,25000,200000
2025-02-22,West,Headphones,8,25000,200000
2025-02-23,South,Headphones,5,15000,75000
2025-02-23,West,Headphones,17,15000,255000
2025-02-23,North,Laptop,13,2000,26000
2025-02-23,West,Laptop,13,25000,325000
2025-02-23,East,Laptop,6,25000,150000
2025-02-24,West,Laptop,15,15000,225000
2025-02-24,South,Mobile,18,8000,144000
2025-02-24,North,Laptop,1,25000,25000
2025-02-24,North,Mobile,15,15000,225000
2025-02-25,North,Mobile,17,15000,255000
2025-02-25,North,Mobile,9,8000,72000
2025-02-25,East,Laptop,16,8000,128000
2025-02-25,South,Headphones,17,15000,255000
2025-02-26,North,Mobile,3,15000,45000
2025-02-26,East,Laptop,5,25000,125000
2025-02-26,South,Tablet,17,15000,255000
2025-02-26,South,Laptop,14,15000,210000
2025-02-27,North,Laptop,4,25000,100000
2025-02-27,North,Laptop,8,2000,16000
2025-02-27,South,Headphones,8,8000,64000
2025-02-27,South,Mobile,2,25000,50000
2025-02-28,East,Tablet,18,2000,36000
2025-02-28,North,Mobile,12,15000,180000
2025-02-28,South,Mobile,17,2000,34000
2025-03-01,East,Tablet,15,15000,225000
2025-03-01,North,Mobile,2,8000,16000
2025-03-01,East,Tablet,6,2000,12000
2025-03-01,West,Mobile,6,25000,150000
2025-03-02,South,Mobile,15,8000,120000
2025-03-02,East,Tablet,2,2000,4000
2025-03-02,North,Mobile,1,2000,2000
2025-03-03,West,Mobile,10,8000,80000
2025-03-03,North,Laptop,4,25000,100000
2025-03-03,West,Laptop,10,15000,150000
2025-03-03,West,Headphones,5,25000,125000
2025-03-04,North,Mobile,13,25000,325000
2025-03-04,East,Tablet,16,8000,128000
2025-03-04,East,Tablet,16,8000,128000
2025-03-05,South,Headphones,8,2000,16000
2025-03-05,West,Headphones,3,2000,6000
2025-03-05,East,Tablet,18,15000,270000
2025-03-05,South,Tablet,19,15000,285000
2025-03-06,South,Headphones,10,15000,150000
2025-03-06,South,Laptop,6,15000,90000
2025-03-07,North,Headphones,14,25000,350000
2025-03-07,North,Mobile,13,8000,104000
2025-03-08,South,Laptop,15,15000,225000
2025-03-08,South,Tablet,11,8000,88000
2025-03-09,North,Laptop,4,15000,60000
2025-03-09,West,Laptop,3,15000,45000
2025-03-09,West,Tablet,15,8000,120000
2025-03-09,West,Mobile,14,25000,350000
2025-03-09,West,Tablet,14,2000,28000
2025-03-10,North,Mobile,14,8000,112000
2025-03-10,West,Tablet,7,8000,56000
2025-03-10,East,Tablet,14,8000,112000
2025-03-11,West,Laptop,18,25000,450000
2025-03-11,South,Tablet,19,8000,152000
2025-03-11,West,Laptop,5,2000,10000
2025-03-11,South,Tablet,17,8000,136000
2025-03-12,South,Mobile,12,15000,180000
2025-03-12,North,Laptop,4,25000,100000
2025-03-12,East,Laptop,13,25000,325000
2025-03-13,West,Tablet,2,8000,16000
2025-03-13,West,Headphones,17,2000,34000
2025-03-13,East,Mobile,9,15000,135000
2025-03-13,South,Headphones,2,8000,16000
2025-03-14,East,Laptop,6,15000,90000
2025-03-14,North,Laptop,6,25000,150000
2025-03-14,East,Headphones,4,25000,100000
2025-03-14,East,Mobile,9,8000,72000
2025-03-14,East,Tablet,8,15000,120000
2025-03-15,West,Tablet,6,25000,150000
2025-03-15,West,Headphones,11,2000,22000
2025-03-15,East,Mobile,17,25000,425000
2025-03-15,West,Mobile,19,25000,475000
2025-03-15,North,Mobile,15,8000,120000
2025-03-16,South,Tablet,13,2000,26000
2025-03-16,North,Mobile,4,8000,32000
2025-03-16,West,Laptop,17,2000,34000
2025-03-16,East,Laptop,14,2000,28000
2025-03-16,South,Laptop,11,8000,88000
2025-03-17,North,Tablet,3,15000,45000
2025-03-17,South,Mobile,10,15000,150000
2025-03-17,East,Mobile,12,25000,300000
2025-03-17,North,Headphones,2,2000,4000
2025-03-17,North,Tablet,5,15000,75000
2025-03-18,North,Tablet,15,2000,30000
2025-03-18,South,Tablet,3,25000,75000
2025-03-19,North,Laptop,12,25000,300000
2025-03-19,South,Laptop,11,15000,165000
2025-03-19,South,Headphones,3,8000,24000
2025-03-19,North,Headphones,8,8000,64000
2025-03-20,North,Mobile,3,15000,45000
2025-03-20,North,Laptop,19,8000,152000
2025-03-21,South,Mobile,4,15000,60000
2025-03-21,North,Mobile,18,2000,36000
2025-03-21,West,Tablet,8,25000,200000
2025-03-22,East,Laptop,6,15000,90000
2025-03-22,East,Tablet,15,15000,225000
2025-03-22,North,Laptop,1,8000,8000
2025-03-22,East,Mobile,14,15000,210000
2025-03-22,West,Headphones,19,8000,152000
2025-03-23,South,Mobile,3,8000,24000
2025-03-23,East,Headphones,10,2000,20000
2025-03-23,West,Tablet,15,15000,225000
2025-03-23,North,Headphones,7,8000,56000
2025-03-24,North,Mobile,1,15000,15000
2025-03-24,North,Tablet,1,25000,25000
2025-03-24,West,Mobile,2,25000,50000
2025-03-24,North,Tablet,10,15000,150000
2025-03-24,South,Mobile,13,8000,104000
2025-03-25,West,Laptop,15,15000,225000
2025-03-25,West,Laptop,15,2000,30000
2025-03-25,West,Laptop,2,8000,16000
2025-03-25,East,Tablet,19,2000,38000
2025-03-26,South,Tablet,5,2000,10000
2025-03-26,East,Mobile,10,2000,20000
2025-03-26,South,Mobile,8,8000,64000
2025-03-26,East,Mobile,14,8000,112000
2025-03-26,West,Mobile,13,2000,26000
2025-03-27,South,Laptop,1,8000,8000
2025-03-27,West,Headphones,11,2000,22000
2025-03-27,West,Headphones,16,2000,32000
2025-03-28,West,Laptop,8,8000,64000
2025-03-28,South,Laptop,9,25000,225000
2025-03-29,North,Mobile,8,15000,120000
2025-03-29,South,Tablet,1,25000,25000
2025-03-29,North,Laptop,14,2000,28000
2025-03-29,South,Tablet,1,8000,8000
2025-03-30,East,Tablet,8,8000,64000
2025-03-30,North,Tablet,9,15000,135000
2025-03-30,North,Mobile,9,8000,72000
2025-03-31,West,Laptop,11,25000,275000
2025-03-31,South,Tablet,18,8000,144000
2025-03-31,South,Tablet,17,2000,34000
2025-03-31,East,Tablet,12,8000,96000
2025-04-01,South,Headphones,7,2000,14000
2025-04-01,South,Laptop,1,15000,15000
2025-04-01,North,Tablet,11,25000,275000
2025-04-01,South,Headphones,18,15000,270000
2025-04-02,East,Laptop,9,15000,135000
2025-04-02,West,Mobile,8,15000,120000
2025-04-03,North,Headphones,13,25000,325000
2025-04-03,East,Tablet,19,25000,475000
2025-04-03,West,Mobile,17,15000,255000
2025-04-03,North,Mobile,16,2000,32000
2025-04-04,South,Laptop,14,8000,112000
2025-04-04,East,Mobile,2,25000,50000
2025-04-04,West,Laptop,18,25000,450000
2025-04-04,South,Tablet,4,15000,60000
2025-04-05,North,Tablet,7,8000,56000
2025-04-05,West,Mobile,10,8000,80000
2025-04-05,South,Mobile,1,8000,8000
2025-04-05,East,Headphones,18,8000,144000
2025-04-05,North,Headphones,1,15000,15000
2025-04-06,East,Headphones,8,25000,200000
2025-04-06,North,Tablet,5,8000,40000
2025-04-06,East,Laptop,15,2000,30000
2025-04-06,South,Tablet,14,2000,28000
2025-04-07,South,Tablet,16,2000,32000
2025-04-07,West,Laptop,14,8000,112000
2025-04-07,East,Headphones,18,8000,144000
2025-04-07,South,Tablet,1,8000,8000
2025-04-07,North,Tablet,16,15000,240000
2025-04-08,West,Laptop,18,25000,450000
2025-04-08,North,Tablet,5,2000,10000
2025-04-08,East,Mobile,2,8000,16000
2025-04-08,East,Tablet,12,2000,24000
2025-04-09,North,Mobile,9,25000,225000
2025-04-09,North,Headphones,3,2000,6000
2025-04-10,South,Headphones,17,25000,425000
2025-04-10,South,Headphones,14,8000,112000
2025-04-10,West,Headphones,17,25000,425000
2025-04-11,North,Mobile,9,2000,18000
2025-04-11,South,Laptop,7,15000,105000
2025-04-11,South,Mobile,11,25000,275000
2025-04-11,West,Mobile,13,25000,325000
2025-04-12,North,Tablet,6,25000,150000
2025-04-12,West,Laptop,10,2000,20000
2025-04-12,North,Mobile,2,15000,30000
2025-04-12,North,Laptop,6,25000,150000
2025-04-13,East,Laptop,10,25000,250000
2025-04-13,North,Tablet,6,8000,48000
2025-04-13,West,Mobile,12,15000,180000
2025-04-13,North,Laptop,7,25000,175000
2025-04-13,North,Laptop,14,2000,28000
2025-04-14,West,Mobile,11,15000,165000
2025-04-14,East,Laptop,4,8000,32000
2025-04-14,South,Laptop,11,2000,22000
2025-04-15,West,Headphones,17,8000,136000
2025-04-15,East,Headphones,3,25000,75000
2025-04-15,South,Tablet,15,2000,30000
2025-04-15,South,Mobile,5,2000,10000
2025-04-16,South,Headphones,15,2000,30000
2025-04-16,East,Tablet,11,15000,165000
2025-04-17,East,Laptop,11,25000,275000
2025-04-17,North,Mobile,2,15000,30000
2025-04-17,North,Laptop,8,15000,120000
2025-04-18,North,Laptop,11,2000,22000
2025-04-18,South,Laptop,7,8000,56000
2025-04-19,South,Laptop,12,2000,24000
2025-04-19,East,Mobile,6,25000,150000
2025-04-19,West,Tablet,5,2000,10000
2025-04-19,East,Tablet,17,15000,255000
2025-04-20,South,Laptop,17,8000,136000
2025-04-20,West,Mobile,16,2000,32000
2025-04-21,West,Tablet,17,8000,136000
2025-04-21,North,Mobile,16,25000,400000
2025-04-21,West,Laptop,18,15000,270000
2025-04-21,West,Tablet,9,15000,135000
2025-04-22,East,Headphones,10,2000,20000
2025-04-22,East,Laptop,7,25000,175000
2025-04-22,East,Laptop,7,15000,105000
2025-04-23,West,Headphones,18,8000,144000
2025-04-23,East,Laptop,18,8000,144000
2025-04-23,South,Headphones,7,8000,56000
2025-04-23,South,Tablet,10,8000,80000
2025-04-24,South,Tablet,3,2000,6000
2025-04-24,West,Laptop,2,8000,16000
2025-04-25,East,Headphones,12,8000,96000
2025-04-25,East,Headphones,17,2000,34000
2025-04-26,South,Laptop,13,25000,325000
2025-04-26,North,Headphones,13,25000,325000
2025-04-27,South,Mobile,3,25000,75000
2025-04-27,South,Mobile,13,15000,195000
2025-04-27,South,Headphones,3,8000,24000
2025-04-27,East,Mobile,17,15000,255000
2025-04-27,South,Laptop,12,15000,180000
2025-04-28,West,Headphones,15,15000,225000
2025-04-28,South,Mobile,7,2000,14000
2025-04-28,North,Laptop,17,8000,136000
2025-04-28,North,Mobile,18,2000,36000
2025-04-28,South,Mobile,5,15000,75000
2025-04-29,North,Laptop,14,8000,112000
2025-04-29,North,Tablet,17,15000,255000
2025-04-29,West,Headphones,12,8000,96000
2025-04-29,South,Laptop,5,8000,40000
2025-04-29,West,Mobile,7,2000,14000
2025-04-30,South,Headphones,11,25000,275000
2025-04-30,North,Mobile,7,2000,14000
2025-04-30,West,Tablet,8,2000,16000
2025-04-30,North,Tablet,19,15000,285000
2025-05-01,South,Tablet,2,15000,30000
2025-05-01,South,Laptop,17,25000,425000
2025-05-01,East,Headphones,6,15000,90000
2025-05-02,South,Tablet,17,15000,255000
2025-05-02,East,Headphones,17,15000,255000
2025-05-03,South,Tablet,18,25000,450000
2025-05-03,South,Laptop,3,2000,6000
2025-05-03,East,Mobile,13,2000,26000
2025-05-03,North,Tablet,9,2000,18000
2025-05-04,North,Mobile,11,15000,165000
2025-05-04,West,Tablet,9,8000,72000
2025-05-04,North,Mobile,12,25000,300000
2025-05-05,East,Headphones,5,8000,40000
2025-05-05,East,Mobile,15,25000,375000
2025-05-06,East,Laptop,16,25000,400000
2025-05-06,South,Mobile,5,2000,10000
2025-05-06,West,Laptop,5,15000,75000
2025-05-06,North,Mobile,8,15000,120000
2025-05-06,West,Mobile,19,25000,475000
2025-05-07,West,Headphones,2,2000,4000
2025-05-07,East,Laptop,13,15000,195000
2025-05-07,South,Headphones,19,2000,38000
2025-05-07,West,Headphones,1,8000,8000
2025-05-08,West,Laptop,13,8000,104000
2025-05-08,North,Laptop,10,2000,20000
2025-05-08,East,Tablet,6,2000,12000
2025-05-08,East,Laptop,11,15000,165000
2025-05-09,North,Tablet,10,25000,250000
2025-05-09,West,Tablet,7,8000,56000
2025-05-09,South,Headphones,2,25000,50000
2025-05-10,North,Headphones,7,25000,175000
2025-05-10,West,Laptop,14,8000,112000
2025-05-11,North,Laptop,8,8000,64000
2025-05-11,South,Headphones,13,8000,104000
2025-05-12,South,Tablet,7,25000,175000
2025-05-12,North,Headphones,2,8000,16000
2025-05-12,West,Headphones,15,25000,375000
2025-05-12,North,Laptop,4,2000,8000
2025-05-12,West,Headphones,18,2000,36000
2025-05-13,West,Laptop,12,25000,300000
2025-05-13,North,Mobile,1,25000,25000
2025-05-13,South,Headphones,18,25000,450000
2025-05-13,South,Headphones,15,15000,225000
2025-05-14,West,Tablet,3,2000,6000
2025-05-14,North,Headphones,7,15000,105000
2025-05-14,East,Laptop,6,8000,48000
2025-05-14,East,Headphones,19,8000,152000
2025-05-14,South,Tablet,2,25000,50000
2025-05-15,North,Headphones,17,8000,136000
2025-05-15,North,Laptop,7,8000,56000
2025-05-15,East,Laptop,11,2000,22000
2025-05-16,South,Tablet,14,2000,28000
2025-05-16,South,Tablet,3,15000,45000
2025-05-16,South,Headphones,15,2000,30000
2025-05-16,North,Tablet,6,8000,48000
2025-05-16,North,Laptop,3,8000,24000
2025-05-17,South,Headphones,6,8000,48000
2025-05-17,South,Laptop,3,2000,6000
2025-05-18,North,Headphones,12,25000,300000
2025-05-18,East,Headphones,16,8000,128000
2025-05-19,West,Mobile,17,15000,255000
2025-05-19,North,Headphones,15,8000,120000
2025-05-19,South,Mobile,7,8000,56000
2025-05-19,North,Headphones,12,15000,180000
2025-05-19,West,Headphones,3,2000,6000
2025-05-20,East,Laptop,14,8000,112000
2025-05-20,North,Mobile,12,2000,24000
2025-05-20,West,Laptop,6,2000,12000
2025-05-21,West,Tablet,2,2000,4000
2025-05-21,West,Tablet,13,15000,195000
2025-05-22,North,Mobile,18,25000,450000
2025-05-22,East,Tablet,6,2000,12000
2025-05-22,East,Laptop,1,2000,2000
2025-05-22,South,Laptop,8,8000,64000
2025-05-22,South,Tablet,9,15000,135000
2025-05-23,North,Mobile,15,2000,30000
2025-05-23,South,Mobile,1,25000,25000
2025-05-23,West,Headphones,18,2000,36000
2025-05-23,North,Mobile,1,15000,15000
2025-05-23,North,Laptop,1,15000,15000
2025-05-24,South,Mobile,7,25000,175000
2025-05-24,South,Tablet,14,25000,350000
2025-05-24,South,Tablet,2,25000,50000
2025-05-24,East,Headphones,17,2000,34000
2025-05-24,East,Laptop,3,8000,24000
2025-05-25,North,Mobile,9,8000,72000
2025-05-25,East,Headphones,9,25000,225000
2025-05-25,West,Headphones,8,25000,200000
2025-05-26,South,Headphones,15,8000,120000
2025-05-26,East,Tablet,11,2000,22000
2025-05-26,West,Headphones,6,25000,150000
2025-05-26,South,Mobile,3,8000,24000
2025-05-26,North,Headphones,10,25000,250000
2025-05-27,South,Mobile,12,8000,96000
2025-05-27,West,Laptop,13,8000,104000
2025-05-27,South,Tablet,14,2000,28000
2025-05-27,North,Headphones,19,2000,38000
2025-05-28,South,Mobile,19,25000,475000
2025-05-28,North,Headphones,9,8000,72000
2025-05-28,East,Headphones,10,8000,80000
2025-05-29,North,Laptop,15,15000,225000
2025-05-29,East,Headphones,17,25000,425000
2025-05-29,North,Tablet,5,2000,10000
2025-05-29,West,Headphones,18,15000,270000
2025-05-30,West,Laptop,4,25000,100000
2025-05-30,North,Mobile,4,25000,100000
2025-05-30,East,Mobile,4,25000,100000
2025-05-30,East,Mobile,19,8000,152000
2025-05-31,South,Laptop,12,8000,96000
2025-05-31,North,Mobile,8,15000,120000
2025-05-31,East,Laptop,3,25000,75000
2025-06-01,West,Headphones,10,2000,20000
2025-06-01,South,Mobile,2,8000,16000
2025-06-01,North,Laptop,6,15000,90000
2025-06-01,North,Mobile,15,25000,375000
2025-06-01,West,Tablet,2,8000,16000
2025-06-02,North,Tablet,2,8000,16000
2025-06-02,North,Laptop,1,2000,2000
2025-06-02,West,Headphones,4,15000,60000
2025-06-03,East,Tablet,11,25000,275000
2025-06-03,East,Mobile,14,2000,28000
2025-06-03,South,Laptop,10,2000,20000
2025-06-03,South,Laptop,1,15000,15000
2025-06-04,West,Tablet,12,15000,180000
2025-06-04,North,Headphones,11,15000,165000
2025-06-04,East,Laptop,12,15000,180000
2025-06-04,North,Laptop,12,2000,24000
2025-06-04,West,Tablet,15,25000,375000
2025-06-05,East,Laptop,18,25000,450000
2025-06-05,South,Laptop,5,2000,10000
2025-06-05,South,Laptop,1,8000,8000
2025-06-05,East,Mobile,5,15000,75000
2025-06-05,East,Laptop,1,15000,15000
2025-06-06,South,Headphones,10,2000,20000
2025-06-06,North,Mobile,11,25000,275000
2025-06-06,South,Laptop,18,15000,270000
2025-06-06,North,Tablet,15,8000,120000
2025-06-07,East,Headphones,6,2000,12000
2025-06-07,East,Headphones,13,2000,26000
2025-06-07,West,Mobile,10,2000,20000
2025-06-08,West,Mobile,1,8000,8000
2025-06-08,West,Laptop,6,15000,90000
2025-06-08,East,Mobile,15,25000,375000
2025-06-08,North,Tablet,11,25000,275000
2025-06-09,South,Mobile,17,25000,425000
2025-06-09,West,Tablet,8,15000,120000
2025-06-09,West,Tablet,8,15000,120000
2025-06-10,West,Laptop,1,8000,8000
2025-06-10,East,Headphones,14,15000,210000
2025-06-10,West,Laptop,9,25000,225000
2025-06-11,West,Mobile,18,2000,36000
2025-06-11,South,Tablet,9,15000,135000
2025-06-11,North,Laptop,16,15000,240000
2025-06-12,North,Laptop,9,8000,72000
2025-06-12,West,Mobile,6,25000,150000
2025-06-13,South,Tablet,6,25000,150000
2025-06-13,South,Laptop,9,8000,72000
2025-06-13,East,Laptop,11,15000,165000
2025-06-13,West,Mobile,7,15000,105000
2025-06-13,North,Tablet,1,2000,2000
2025-06-14,East,Tablet,19,2000,38000
2025-06-14,North,Laptop,1,15000,15000
2025-06-14,West,Laptop,3,2000,6000
2025-06-15,South,Tablet,3,2000,6000
2025-06-15,South,Mobile,10,25000,250000
2025-06-15,South,Laptop,3,15000,45000
2025-06-16,West,Headphones,2,25000,50000
2025-06-16,West,Laptop,12,15000,180000
2025-06-16,South,Headphones,5,8000,40000
2025-06-17,West,Tablet,11,2000,22000
2025-06-17,East,Mobile,14,25000,350000
2025-06-17,West,Tablet,11,15000,165000
2025-06-17,North,Tablet,11,8000,88000
2025-06-17,West,Tablet,15,15000,225000
2025-06-18,East,Tablet,15,2000,30000
2025-06-18,North,Laptop,19,25000,475000
2025-06-18,South,Laptop,4,2000,8000
2025-06-18,North,Headphones,14,8000,112000
2025-06-18,North,Tablet,3,2000,6000
2025-06-19,South,Headphones,18,25000,450000
2025-06-19,North,Laptop,4,25000,100000
2025-06-19,North,Mobile,11,8000,88000
2025-06-19,East,Headphones,10,8000,80000
2025-06-19,North,Tablet,7,8000,56000
2025-06-20,North,Mobile,10,2000,20000
2025-06-20,West,Headphones,4,25000,100000
2025-06-20,East,Mobile,1,2000,2000
2025-06-20,West,Laptop,10,8000,80000
2025-06-20,East,Laptop,9,25000,225000
2025-06-21,East,Mobile,10,2000,20000
2025-06-21,West,Headphones,17,25000,425000
2025-06-22,North,Headphones,18,2000,36000
2025-06-22,East,Headphones,7,25000,175000
2025-06-22,North,Mobile,19,2000,38000
2025-06-22,South,Laptop,18,15000,270000
2025-06-23,North,Tablet,12,25000,300000
2025-06-23,North,Tablet,17,25000,425000
2025-06-23,West,Laptop,15,8000,120000
2025-06-23,West,Tablet,11,25000,275000
